"Szenario";"Type";"Age";"Min";"Q1";"Median";"Mean";"Q3";"Max";"SD";"UCB_95";"Mean_Exp_Age"
"1";"disease";"75";"0";"180";"435";"1370.54";"690";"15600";"2512.44";"7440";"88.37"
"1";"all";"76";"0";"780";"2025";"3463.91";"3135";"38000";"5087.65";"16000";"88.65"
"1";"control";"76";"0";"0";"960";"1062.13";"1880";"3000";"952.51";"2640";"88.65"
"1";"perio";"76";"0";"0";"0";"1126.11";"0";"29120";"3560.34";"10520";"88.65"
"1";"disease";"76";"0";"165";"405";"1275.67";"660";"15000";"2382.62";"7080";"88.65"
"1";"all";"77";"0";"750";"1920";"3291.82";"3000";"35520";"4867.48";"15120";"88.87"
"1";"control";"77";"0";"0";"960";"1003.12";"1800";"2880";"909.1";"2520";"88.87"
"1";"perio";"77";"0";"0";"0";"1076.11";"0";"27000";"3417.5";"10000";"88.87"
"1";"disease";"77";"0";"150";"390";"1212.59";"630";"14400";"2260.16";"6720";"88.87"
"1";"all";"78";"0";"630";"1785";"3063.8";"2835";"33920";"4581.62";"14080";"89.13"
"1";"control";"78";"0";"0";"840";"950.22";"1680";"2760";"867.08";"2520";"89.13"
"1";"perio";"78";"0";"0";"0";"997.68";"0";"25760";"3217.97";"9280";"89.13"
"1";"disease";"78";"0";"135";"360";"1115.9";"600";"13800";"2107.74";"6360";"89.13"
"1";"all";"79";"0";"615";"1665";"2880.72";"2685";"36280";"4335.26";"13200";"89.43"
"1";"control";"79";"0";"0";"840";"899.57";"1560";"2640";"822.19";"2400";"89.43"
"1";"perio";"79";"0";"0";"0";"934.43";"0";"28840";"3036.88";"8600";"89.43"
"1";"disease";"79";"0";"120";"330";"1046.72";"570";"13200";"2000.25";"6000";"89.43"
"1";"all";"80";"0";"600";"1555";"2716.81";"2550";"32640";"4121.49";"12600";"89.78"
"1";"control";"80";"0";"0";"720";"847.48";"1440";"2520";"781.99";"2280";"89.78"
"1";"perio";"80";"0";"0";"0";"881.49";"0";"25560";"2888.43";"8240";"89.78"
